RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3,RI:ICD3,PK3,RI:ICD3,RI,RI,RI,RI,RI,RI,RI,RI,RI,RI
Device or Header,Prog BPs (1),Data BPs (1),Data BP Access,Tuples (ANDed BPs),Sequenced BPs,Range BPs,Table R/W BPs,Pass Counter,Clock Switch Break,Sleep Wake Break,Stack Over/Under Break,WDT Timeout Break,Stopwatch,Debug Reads,Stack Snapshot,Runtime BPs,SW BPs,PTG Support,App IO,Data Capture (1),Runtime Watch (1),Native Trace,Port Trace,SPI Trace,Instruction Trace,PC Profiling,PC Sampling,FLP,Jump Trace
PIC16F15344,1,1,R/W,0,No,N/A,No,Yes,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F15345,3,1,R/W,0,No,N/A,No,Yes,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F15354,3,1,R/W,0,No,N/A,No,Yes,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F15355,3,1,R/W,0,No,N/A,No,Yes,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F15356,3,1,R/W,0,No,N/A,No,Yes,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F15375,3,1,R/W,0,No,N/A,No,Yes,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F15376,3,1,R/W,0,No,N/A,No,Yes,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F15385,3,1,R/W,0,No,N/A,No,Yes,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F15386,3,1,R/W,0,No,N/A,No,Yes,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1574,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1575,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1578,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1579,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1613,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1613 using AC244066,32,32,R/W,0,32S / 32BPS,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1614,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1614 using AC244066,32,32,R/W,0,32S / 32BPS,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1615,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1615 using AC244066,32,32,R/W,0,32S / 32BPS,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1618,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1618 using AC244066,32,32,R/W,0,32S / 32BPS,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1619,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1619 using AC244066,32,32,R/W,0,32S / 32BPS,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1703,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1703 using AC244065,32,32,R/W,0,32S / 32BPS,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1704,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
